POA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
POA6000,0,0,0,0,3,0,3,3,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,3,0,3,0,0,3,5,9,0,15,0,3,0,0,0,0,0,3,5,0,13,3,8,0,12,0,0,0,12,5,0,15,4,3,0,4,0,0,0,8,6,0,14,5,0,0,9,0,0,0,7,7,0,15,3,3,0,6,0,0,0,6,3,0,7,11,0,0,12,0,0,0,12,3,0,14,8,3,0,9,0,0,0,9,0,0,9,8,3,0,13,0,0,0,13,3,0,16,6,3,0,10,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,5,0,0,7,0,0,0,7,0,0,7,3,0,0,4,3,0,3,10,4,0,16,0,0
POA6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3,0,0,0,3,0,0,4,4,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0
POA6004,0,0,0,0,0,3,3,3,10,0,13,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,5,0,3,4,4,0,8,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,3,3,3,0,6,0,0,0,0,0,0,0,4,3,0,5,0,7,0,6,0,0,0,8,5,0,13,3,3,0,8,0,0,0,8,0,0,9,10,4,0,8,0,0,0,8,8,0,19,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,5,0,0,6,9,3,0,14,0,0,0,14,3,0,10,8,0,0,12,0,0,0,10,0,0,11,3,0,0,5,0,0,0,3,3,0,10,0,3,0,3,0,0,0,3,0,0,3,4,0,0,3,0,0,0,3,0,0,4,4,0,0,4,0,0,0,4,3,0,10,7,0,0,14,0,0,0,14,5,0,18,0,0
POA6005,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,3,8,0,12,0,3,0,3,0,0,0,3,5,0,7,0,3,0,5,0,0,0,5,5,0,11,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,6,0,0,6,5,3,0,5,0,0,0,5,3,0,11,3,0,0,3,0,0,0,3,0,0,3,3,0,0,9,0,0,0,9,3,0,5,15,0,0,15,0,0,0,15,0,0,16,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,10,0,0
POA6006,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,3,0,5,0,4,0,8,0,0,0,8,4,0,8,3,3,0,3,0,0,0,3,5,0,11,3,14,0,18,3,0,3,16,5,0,24,6,9,0,15,0,0,0,15,13,0,22,8,3,0,7,0,0,3,14,13,0,22,5,5,0,7,0,0,0,9,7,0,11,13,3,0,15,0,0,0,16,8,0,19,16,3,3,15,0,3,3,22,3,0,21,6,0,0,10,0,0,0,10,3,0,15,0,0,0,3,0,0,0,3,0,0,7,8,0,0,8,0,0,0,8,0,0,6,8,0,0,10,0,0,0,10,3,0,8,11,4,0,13,0,0,0,12,3,0,17,0,0
POA6007,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,6,0,4,0,4,0,0,0,3,3,0,9,4,3,0,9,0,0,0,9,7,0,16,3,6,0,10,0,0,0,9,9,0,18,7,0,0,12,0,0,0,12,8,0,22,3,4,0,8,0,0,0,8,3,0,12,6,0,0,6,0,0,0,6,0,0,8,6,3,0,6,0,0,0,6,0,0,7,16,4,0,18,0,0,0,18,11,0,26,4,0,0,7,0,0,0,7,0,0,7,0,0,0,3,0,0,0,3,0,0,8,8,3,0,15,0,0,0,15,0,0,18,4,0,0,7,0,0,0,11,0,0,10,6,3,0,6,0,3,3,10,3,0,17,0,0
POA6008,0,0,0,0,8,3,11,11,12,0,17,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,0,0,3,3,0,6,0,3,0,3,0,0,3,3,3,0,6,0,3,0,3,0,0,0,6,5,0,15,3,7,0,12,0,0,0,13,6,0,18,0,8,0,14,0,0,0,9,5,0,20,4,16,0,17,0,0,0,17,5,0,25,10,12,0,27,0,0,3,29,10,0,37,24,9,0,31,0,0,0,36,6,0,39,9,7,4,24,0,0,0,22,8,0,32,15,5,0,19,0,0,0,19,7,0,19,34,11,3,49,4,0,4,52,9,0,62,12,3,0,17,0,0,0,17,3,0,21,3,3,0,8,0,0,0,8,0,0,10,23,5,0,33,0,0,0,33,0,0,35,20,3,0,28,0,0,0,28,3,0,26,18,9,0,29,0,0,0,36,9,0,43,0,0
POA6009,0,0,0,0,0,0,3,3,15,0,20,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,3,0,10,0,4,0,4,0,0,0,4,3,0,4,0,4,0,5,0,3,3,7,12,0,22,3,8,0,13,0,0,0,13,19,0,31,3,13,0,16,0,0,0,18,8,0,19,3,8,0,12,0,0,4,14,11,0,21,8,12,0,20,0,0,3,19,12,0,33,6,3,0,16,0,0,0,16,8,0,20,15,3,0,15,0,0,0,15,9,0,26,17,10,0,23,0,0,0,24,10,0,33,9,3,0,10,0,4,4,15,6,0,21,5,3,0,3,0,0,0,3,0,0,5,21,3,4,26,0,0,0,26,6,0,38,24,8,0,33,0,0,0,33,7,0,40,21,6,0,33,0,0,3,36,9,0,46,3,0
POA6010,0,0,0,0,0,3,5,5,21,0,23,0,3,0,3,0,0,0,4,4,0,4,0,0,0,0,3,0,4,4,3,0,8,0,4,0,7,0,3,3,8,3,0,14,3,0,0,5,0,0,0,9,6,0,17,3,3,0,7,0,0,0,7,18,0,23,0,14,0,11,0,0,0,15,10,0,27,8,16,0,24,0,0,0,24,13,0,41,9,20,0,32,0,0,0,31,6,0,40,15,12,0,22,0,0,0,22,11,0,30,13,5,0,22,0,3,3,23,15,0,37,16,5,0,21,0,0,0,20,7,0,24,33,10,0,43,0,0,0,40,9,0,52,16,3,0,21,0,0,0,22,3,0,28,9,0,0,9,0,0,0,9,6,0,10,22,3,0,22,0,0,0,22,4,0,30,21,6,4,25,0,0,0,25,5,0,32,30,14,0,49,3,0,4,51,22,0,71,0,0
POA6011,0,0,0,0,0,0,0,3,8,0,10,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,0,0,3,3,0,8,0,4,0,5,0,0,0,3,5,0,12,0,0,0,0,0,0,0,0,3,0,5,0,5,0,9,0,0,0,9,5,0,16,4,7,0,11,0,0,0,11,3,0,8,5,0,0,5,0,0,0,7,8,0,10,3,5,0,11,0,0,0,10,4,0,14,6,10,0,12,0,0,0,12,3,0,15,3,5,0,7,0,0,0,7,4,0,14,3,3,0,7,0,0,0,7,5,0,11,9,5,0,18,0,0,0,18,7,0,24,0,0,0,5,0,0,0,5,6,0,9,0,4,0,7,0,0,0,7,0,0,7,12,5,0,14,0,0,0,14,0,0,14,8,8,0,19,0,0,0,19,5,0,20,12,11,0,18,0,0,0,23,11,0,33,0,0
