POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6518,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,4,0,7
POA6519,0,0,0,0,0,0,0,0,0,9,0,3,17,0,0,0,16,3,0,22
POA6521,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,3,0,7
POA6522,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,3,8,9,0,12
POA6525,0,0,0,0,0,0,0,0,0,20,27,4,47,6,5,16,63,48,3,107
POA6528,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,11,0,15
POA6530,0,5,0,0,0,6,29,19,53,424,355,41,821,80,63,137,964,606,27,1596
POA6532,0,3,0,0,0,3,0,0,3,63,50,10,115,8,0,8,125,49,0,174
POA6535,0,0,0,0,0,0,0,0,0,9,7,0,19,3,0,3,16,13,0,34
POA6536,0,0,0,0,0,0,0,0,0,14,17,0,27,0,0,0,33,16,0,51
POA6537,0,0,0,0,0,0,0,0,0,4,4,0,14,0,0,0,14,3,0,16
POA6556,0,0,0,0,0,0,0,0,3,29,19,3,53,5,0,5,61,25,3,93
POA6558,0,0,0,0,0,0,0,0,0,8,11,0,18,0,0,3,25,8,0,34
POA6560,0,0,0,0,0,0,0,0,3,21,15,6,43,3,0,3,41,24,0,67
POA6562,0,0,0,0,0,0,0,0,0,12,12,0,21,0,0,0,25,20,0,46
POA6564,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,11,3,0,17
POA6566,0,0,0,0,0,0,3,0,3,35,28,3,61,9,5,6,68,44,0,115
POA6567,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,0,11
POA6568,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,4
POA6569,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,4,7,0,13
POA6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6603,0,0,0,0,0,0,0,0,0,7,11,0,16,0,3,4,22,21,0,40
POA6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6606,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,9
POA6608,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,5
POA6609,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,14,0,0,15
POA6612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6620,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,8
POA6623,0,0,0,0,0,0,0,0,0,7,7,0,12,0,0,3,17,10,0,27
POA6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6630,0,0,0,0,0,0,0,0,0,12,0,3,15,0,0,3,19,15,0,32
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6635,0,0,0,0,0,0,3,0,3,0,4,0,3,0,0,0,3,3,0,6
POA6638,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,3,6,10,0,13
POA6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6640,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,3,0,3
POA6642,0,0,0,0,0,0,0,0,0,5,12,0,15,3,0,3,20,21,0,40
POA6646,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,14,12,0,25
POA6701,0,8,0,0,0,8,9,6,19,59,34,10,107,9,3,17,117,88,10,215
POA6705,0,0,0,0,0,0,3,0,3,0,3,0,3,3,0,3,5,10,0,20
POA6707,0,3,0,0,0,0,0,0,6,21,21,3,47,5,3,4,51,21,0,69
POA6710,0,0,0,0,0,0,0,0,0,8,4,0,8,3,0,3,15,10,0,27
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6713,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,9,9,0,17
POA6714,0,3,0,0,0,3,11,7,13,171,44,15,225,23,5,27,254,136,9,402
POA6716,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,6,4,0,13
POA6718,0,0,0,0,0,0,0,0,3,11,4,0,19,3,9,9,24,29,4,60
POA6720,0,0,0,0,0,0,0,0,0,29,9,3,47,0,0,0,46,7,0,54
POA6721,0,0,0,0,0,0,0,0,3,32,13,0,46,0,0,3,43,27,0,69
POA6722,0,0,0,0,0,0,8,4,8,98,39,15,151,9,3,20,169,125,9,298
POA6725,3,3,0,0,0,3,9,12,28,146,81,8,229,27,20,46,276,193,12,483
POA6726,0,3,0,0,0,7,5,3,13,62,38,8,112,7,7,10,129,105,10,241
POA6728,0,0,0,0,0,3,4,8,12,58,20,7,87,19,13,25,113,198,4,318
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,0,0,0,0,0,0,3,5,9,11,9,3,24,10,0,8,33,48,5,85
POA6743,0,4,0,0,0,4,16,8,22,71,49,4,125,7,8,13,140,119,11,271
POA6751,0,0,0,0,0,0,0,3,3,34,13,5,47,5,3,12,54,15,3,71
POA6753,0,0,0,0,0,0,0,0,5,48,10,3,60,0,0,6,64,30,0,102
POA6754,0,0,0,0,0,0,0,0,0,22,5,0,27,0,0,0,27,0,0,28
POA6758,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,0,5
POA6760,0,0,0,0,0,0,0,3,3,0,9,0,9,5,0,5,9,14,3,29
POA6762,0,0,0,0,0,0,0,3,3,0,0,3,6,0,0,3,7,10,3,25
POA6765,0,0,0,0,0,0,3,0,3,16,8,3,32,10,3,8,44,64,5,110
POA6770,0,0,0,0,0,0,3,7,7,22,12,3,40,3,7,12,47,100,7,159
