POA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA6000,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,3,0,0,0,0,0,6,0,3,0,13,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,4,0,4,0,13,0,25,0,3,0,4,0,4,0,0,0,3,0,25,0,3,0,3,0,4,0,0,0,6,0,15,0,0,0,0,0,13,0,3,3,4,0,23,4,0,0,3,0,15,0,0,3,3,0,31,10,0,0,17,0,29,0,3,0,3,0,60,3,0,0,12,4,3,0,0,0,0,0,26,11,6,0,18,8,3,0,0,0,0,0,37,5,3,0,4,0,26,0,3,0,0,0,40,30,4,3,25,3,12,0,4
POA6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,5,0,12,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,8,0,0,0,4,0,11,0,0,0,6,3,7,0,0,0,0,0,15,4,0,0,3,3,0,0,0,0,0,0,14,0,0,0,3,0,4,0,0,0,0,0,11,11,0,0,9,7,6,0,0
POA6004,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,13,0,7,0,4,0,24,0,0,0,0,0,6,0,0,0,3,0,15,0,0,0,3,0,8,0,3,0,3,0,18,0,0,0,9,0,5,0,0,0,0,0,25,3,0,0,3,0,19,0,0,0,3,0,29,8,0,0,7,0,37,0,4,0,3,0,59,3,0,0,7,3,3,0,0,0,4,0,22,9,0,0,10,3,9,0,0,0,0,0,34,9,0,0,4,0,33,0,3,3,0,0,53,34,4,3,32,12,25,0,7
POA6005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,3,0,3,0,4,3,4,0,14,0,0,0,3,0,5,0,3,0,3,0,16,0,0,0,3,0,4,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,3,0,14,0,3,0,6,0,16,0,0,3,0,0,29,6,0,0,3,6,3,0,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,6,3,0,0,5,3,19,0,0,0,0,0,35,13,0,0,12,3,9,0,0
POA6006,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,10,0,4,0,5,0,3,0,3,0,7,0,20,0,3,0,3,0,0,0,4,0,3,0,17,3,9,0,5,0,8,0,6,0,7,0,35,3,0,0,8,3,11,0,0,0,0,0,29,3,0,0,12,0,10,0,0,0,0,0,30,10,4,0,52,8,33,0,6,0,6,0,120,24,4,0,51,5,15,0,3,0,3,0,106,21,4,0,39,7,6,0,4,0,0,0,81,10,0,0,24,5,39,0,0,0,6,0,88,81,8,0,140,17,39,3,4
POA6007,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,8,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,4,0,10,0,0,0,3,0,5,0,0,0,3,0,15,3,0,0,5,0,8,0,0,0,0,0,22,7,0,0,5,0,5,0,3,0,0,0,19,7,3,0,21,0,30,0,5,3,3,0,69,3,5,0,26,3,10,0,0,0,0,0,52,6,0,0,19,3,4,0,3,0,3,0,42,13,0,0,18,7,28,0,3,3,4,0,74,69,8,3,93,11,42,0,0
POA6008,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,5,0,0,0,4,0,14,0,0,0,4,0,11,0,7,0,3,0,23,0,3,0,0,0,11,0,3,0,3,0,20,3,5,0,14,0,8,0,3,0,3,0,44,0,0,0,9,0,18,0,0,0,3,0,36,3,3,0,17,0,18,3,3,0,3,0,51,19,5,0,38,3,60,0,15,0,3,0,142,15,9,0,54,10,14,0,5,0,5,0,115,13,6,0,56,3,5,0,5,0,3,0,94,26,4,0,25,8,123,0,5,3,0,0,194,154,25,4,244,38,113,3,22
POA6009,3,0,0,3,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,16,0,22,0,0,0,0,0,4,0,8,0,12,0,22,0,5,0,0,0,3,0,4,0,11,0,25,4,3,0,6,0,14,0,13,0,8,0,47,3,3,0,3,0,13,0,6,0,10,0,42,3,0,0,5,0,10,0,5,0,9,0,35,0,3,0,11,0,16,0,7,0,4,0,44,12,7,0,39,0,52,0,6,0,10,0,129,14,4,0,44,4,18,4,11,0,11,0,112,25,3,0,38,4,14,0,10,0,3,0,102,29,11,0,33,0,124,0,7,3,6,0,209,249,41,5,442,18,196,7,43
POA6010,0,0,0,0,0,3,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,6,0,5,0,3,0,19,0,3,0,9,0,0,0,3,0,3,0,21,0,3,0,5,0,7,0,5,0,15,0,45,0,4,0,8,0,12,0,0,0,7,0,36,10,4,0,10,3,16,0,6,0,0,0,49,17,12,0,39,5,45,0,12,0,10,0,134,18,5,0,62,5,18,3,3,0,8,0,126,25,3,0,53,6,12,0,4,0,3,0,110,28,8,0,45,10,135,0,4,0,9,0,232,216,30,7,383,16,160,10,30
POA6011,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,5,0,6,0,0,0,0,0,5,0,3,0,3,0,10,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,3,0,6,0,0,0,0,0,16,0,0,0,4,0,6,0,3,0,0,0,24,8,5,0,16,0,19,0,4,0,4,0,61,6,7,0,23,0,6,0,3,0,4,0,46,9,3,0,18,3,9,0,3,0,3,0,47,13,3,0,13,3,60,0,8,3,3,0,99,111,20,0,218,18,124,6,22
