POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,0,0,0,5,0,0,0,3,3,14,4,5,3,14,0,0,0,0,3,32,12,15,3,22,5,0,3,8,0,66,8,20,10,15,9,3,4,6,0,81,8,10,11,23,5,0,8,13,3,73,8,8,7,14,7,0,0,12,3,59,4,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,64,36,94,34,10,19,41,6,341
POA6743,0,3,23,16,9,36,6,36,0,126,16,41,51,34,28,27,12,49,8,260,74,179,125,116,93,40,34,72,16,741,100,125,96,80,82,28,46,48,13,621,108,121,95,76,85,25,47,63,9,634,93,84,54,44,70,25,59,45,12,482,24,12,17,13,13,9,14,4,8,107,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,419,568,455,371,383,188,215,312,74,2984
POA6751,0,0,12,8,3,6,0,15,0,39,6,24,55,14,11,7,18,24,8,164,50,141,311,30,50,14,211,98,13,923,74,102,247,45,55,16,213,54,8,813,57,28,134,15,50,8,227,37,8,570,41,23,60,6,16,3,134,27,6,313,5,7,5,4,0,3,13,5,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,222,325,822,125,185,62,815,264,48,2866
POA6753,4,3,13,9,9,32,4,14,0,89,7,39,83,25,27,11,46,45,0,284,81,197,407,53,92,20,289,114,18,1266,74,96,288,46,52,21,284,106,28,1000,66,51,167,37,49,22,272,63,18,734,31,29,84,12,18,8,142,34,6,361,3,7,7,4,0,3,17,3,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,270,425,1048,186,241,111,1052,373,73,3784
POA6754,0,0,0,3,0,4,0,4,0,20,0,3,19,3,3,0,8,8,0,41,8,24,54,10,18,11,47,10,0,174,16,20,60,20,19,9,66,14,4,237,11,8,24,3,13,0,62,5,4,140,6,3,18,0,4,0,25,7,4,69,3,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,61,173,45,52,25,220,52,14,698
POA6758,0,0,0,0,0,0,3,3,0,8,0,5,32,0,3,0,24,16,0,82,17,32,186,4,27,0,152,37,3,458,20,25,101,4,11,0,149,30,7,345,19,11,74,5,3,0,130,19,7,274,8,9,27,0,3,3,73,12,3,142,4,0,3,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,92,428,21,38,3,536,110,27,1323
POA6760,0,0,5,0,0,0,0,0,0,6,0,3,3,5,0,0,3,10,0,19,4,8,17,5,0,0,10,15,3,73,7,3,11,5,8,0,7,9,0,56,8,7,11,3,0,0,11,5,0,46,6,4,0,9,5,0,11,3,0,38,3,0,0,0,0,0,3,6,0,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,26,27,51,31,12,0,47,52,11,257
POA6762,0,4,0,0,0,0,0,0,0,8,0,4,10,3,0,0,3,8,0,29,6,45,51,3,9,0,55,19,0,189,7,12,41,0,3,0,50,5,3,124,6,11,26,0,3,0,33,10,5,93,3,7,17,0,0,0,15,5,0,50,0,4,3,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,93,150,12,17,0,152,42,12,498
POA6765,0,0,0,9,3,0,0,11,0,18,0,7,4,12,6,4,0,14,4,59,19,45,16,37,16,13,5,17,3,168,14,24,13,14,16,3,0,13,0,89,15,25,11,14,4,5,4,11,5,91,17,10,5,15,8,0,0,11,0,63,0,3,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,118,49,108,51,21,11,72,15,506
POA6770,0,0,0,7,6,0,0,3,0,19,0,17,7,18,7,0,4,8,6,66,19,47,21,28,11,3,3,17,5,153,16,30,6,29,4,3,3,24,7,128,19,22,12,29,8,3,7,18,5,125,17,33,14,20,7,3,4,8,5,109,3,0,0,0,5,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,150,59,125,51,13,20,87,25,611
