POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA6000,0,0,0,74,3,0,0,3,0,5,0,0,0,4,46,63,0,0,0,0,0,0,0,0,0,0,4,8,60,24,3,80,20,121,4,35,9,56,47,468
POA6003,0,0,0,38,4,0,0,3,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,37,7,32,5,4,0,18,16,148
POA6004,0,3,0,124,8,0,0,4,0,6,0,0,3,0,57,82,0,0,0,0,0,0,0,0,0,0,3,6,76,15,4,80,17,160,8,34,10,41,64,511
POA6005,0,0,0,39,0,0,0,0,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,43,15,78,0,10,3,15,17,214
POA6006,4,3,0,303,11,3,0,17,0,6,0,4,0,8,65,106,0,0,0,0,0,0,0,0,0,0,0,3,173,42,6,363,44,176,8,39,8,54,65,969
POA6007,0,9,0,234,7,0,0,10,0,3,0,4,0,6,43,76,0,0,0,0,0,0,0,0,0,0,0,0,121,30,3,203,27,139,0,24,5,45,43,641
POA6008,0,10,0,609,20,13,0,27,5,13,0,5,3,11,110,196,3,0,0,0,0,0,0,0,0,0,3,12,260,72,7,472,64,406,9,84,15,69,113,1568
POA6009,8,17,0,1029,31,6,3,51,5,35,0,12,0,14,172,318,3,0,0,0,0,3,0,0,0,5,4,19,382,88,12,680,31,499,15,137,16,149,174,2188
POA6010,4,14,0,870,24,13,0,44,3,35,3,10,3,14,176,323,3,4,0,4,0,0,0,3,0,0,4,19,342,84,7,671,45,458,15,89,18,90,183,2010
POA6011,3,13,3,549,15,4,0,31,3,18,3,13,3,7,92,185,0,3,0,0,0,0,0,0,0,3,5,13,164,41,4,337,30,267,5,58,17,58,96,1084
POA6012,0,6,0,424,17,0,0,17,3,21,0,3,3,8,68,141,0,0,0,4,0,0,0,0,0,0,3,8,181,39,12,322,22,216,8,64,7,53,69,991
POA6014,9,14,0,1149,23,7,3,50,3,23,0,9,0,12,226,362,3,0,0,7,0,0,0,0,0,0,7,15,494,137,11,968,93,589,17,111,21,107,233,2786
POA6015,0,12,0,480,20,3,0,23,0,13,0,6,0,10,89,170,0,0,3,3,0,4,0,0,0,0,3,13,157,42,3,320,21,229,3,43,6,47,92,966
POA6016,0,0,0,377,15,4,3,20,3,7,0,3,0,3,78,127,0,0,0,0,0,0,0,0,0,0,3,5,211,69,8,470,50,233,13,62,10,46,83,1272
POA6017,0,0,0,16,3,0,0,4,0,3,0,0,0,0,21,35,0,0,0,0,0,0,0,0,0,0,3,3,50,20,0,72,14,81,5,16,6,32,25,316
POA6018,3,27,0,1333,47,19,3,67,8,42,4,12,5,13,354,578,0,0,0,11,0,0,0,0,0,8,9,29,784,184,38,1638,186,939,47,206,43,236,375,4679
POA6019,3,3,0,630,25,0,0,36,0,17,0,11,0,9,182,291,4,0,0,3,0,3,0,3,0,0,3,19,403,89,8,765,74,455,22,94,26,103,188,2231
POA6020,3,13,0,941,50,17,0,58,4,34,7,11,3,30,223,433,0,0,3,3,0,0,0,0,0,0,5,19,531,116,21,1094,90,526,39,141,27,150,228,2971
POA6021,3,15,0,460,37,12,0,31,3,21,0,9,4,21,171,310,0,0,0,3,7,4,0,0,0,0,10,22,407,97,12,750,73,536,23,128,25,226,187,2456
POA6022,0,0,0,74,4,0,0,11,0,4,0,8,0,7,38,76,0,0,0,0,0,0,0,0,0,0,0,0,95,17,11,212,27,122,10,35,6,50,38,618
POA6023,3,11,0,560,27,9,0,47,3,25,0,11,4,8,164,301,0,0,0,8,0,0,0,0,3,0,0,15,373,81,12,899,73,462,25,113,20,109,166,2337
POA6024,0,3,0,179,26,4,5,26,6,10,0,9,3,15,150,255,0,0,0,0,0,0,0,0,0,5,4,11,275,81,12,570,64,309,18,80,19,135,155,1726
POA6025,9,9,0,829,54,15,10,107,5,47,3,22,9,23,315,593,5,0,0,5,0,4,0,0,0,0,3,31,657,152,26,1438,136,874,50,202,40,221,325,4127
POA6026,11,5,0,640,70,9,3,82,7,31,3,11,4,16,236,477,0,0,0,5,0,0,0,0,0,0,3,11,636,123,23,1196,112,608,44,135,38,159,237,3322
POA6027,8,11,0,923,115,8,4,107,9,65,10,20,9,30,471,845,9,0,7,12,0,5,0,3,0,4,15,55,1064,203,53,1810,162,1052,73,259,72,329,492,5563
POA6028,10,11,0,787,63,17,4,91,12,32,3,17,7,12,340,603,3,0,5,4,3,0,0,0,3,8,7,38,775,114,35,1352,97,684,31,135,45,150,356,3781
POA6029,0,5,0,146,10,0,0,14,0,3,0,0,0,3,34,64,0,0,0,0,0,0,0,0,0,0,0,3,82,17,4,143,9,64,4,14,0,24,39,396
POA6030,8,14,3,579,60,13,5,89,14,52,4,17,0,40,522,829,5,0,7,4,0,4,0,0,0,3,15,38,945,193,47,1481,162,1038,59,286,86,334,551,5186
POA6031,0,3,0,201,33,9,3,34,8,13,4,4,3,11,218,336,3,0,0,4,0,0,0,0,0,3,3,14,488,104,26,778,92,502,36,90,40,121,224,2499
POA6032,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,3,0,3,0,3,0,25
POA6033,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,10,6,0,19,0,11,3,3,0,3,0,59
POA6034,0,0,0,14,0,0,0,8,0,3,0,0,0,0,23,36,0,0,0,0,0,0,0,0,0,0,0,0,41,5,3,86,11,38,9,4,3,5,25,235
POA6035,0,3,0,65,10,8,0,20,0,7,6,3,3,4,174,233,3,0,5,0,0,3,0,0,0,0,0,13,155,43,9,305,36,233,20,45,26,71,176,1125
POA6036,0,0,0,190,36,6,3,38,3,23,5,10,3,17,222,366,0,0,0,5,0,0,0,0,0,0,5,16,392,75,26,645,66,482,43,78,24,117,235,2168
POA6037,0,0,0,33,7,3,0,13,0,7,0,0,0,5,50,80,0,0,0,0,0,0,0,0,0,0,0,3,32,15,3,106,14,72,0,22,12,29,51,356
POA6038,0,0,0,58,12,0,0,16,0,10,0,0,0,0,115,155,0,0,0,4,0,0,0,0,0,3,0,3,157,26,8,253,35,208,13,34,19,32,118,899
POA6041,0,0,0,6,3,0,0,0,0,6,0,0,0,4,27,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,35,5,27,4,12,3,18,27,153
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,20
POA6044,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,20,0,16,0,3,3,11,14,89
POA6050,0,21,0,661,23,3,0,27,0,26,0,7,0,16,118,219,3,0,3,0,0,0,0,0,0,0,0,10,309,72,17,544,59,330,12,73,9,94,120,1632
POA6051,0,0,0,178,11,3,3,4,0,10,0,4,4,10,75,128,0,0,0,0,0,0,0,0,0,0,4,6,180,48,7,259,32,257,13,72,13,70,80,1032
POA6052,6,6,0,322,21,0,0,27,4,13,0,4,3,4,84,161,0,0,0,0,0,0,0,0,0,0,7,5,253,46,3,477,60,257,14,54,17,72,95,1352
POA6053,0,4,0,314,14,3,0,23,3,4,3,9,0,12,99,174,3,0,0,0,0,0,0,0,0,0,3,6,324,64,10,561,62,317,16,77,18,100,100,1651
POA6054,0,3,0,252,28,5,0,35,3,30,3,17,4,18,151,288,0,0,0,0,0,0,0,0,0,5,5,15,386,100,23,664,81,470,31,130,28,188,162,2263
POA6055,0,4,0,282,35,6,4,33,4,19,0,9,3,20,218,341,3,0,3,3,0,0,0,0,0,0,14,24,568,92,30,793,127,603,33,123,34,130,241,2762
POA6056,3,10,0,398,62,21,0,77,7,44,3,19,7,34,326,602,3,0,5,10,0,4,0,0,0,8,10,36,750,160,31,1171,119,950,53,225,84,363,352,4254
POA6057,3,3,0,194,41,7,3,40,0,26,3,7,0,14,159,302,3,0,0,4,0,0,0,0,0,3,8,21,376,84,16,595,59,485,24,87,25,142,169,2056
POA6058,3,0,0,85,26,3,0,32,0,17,0,4,3,13,128,223,0,0,0,0,0,0,0,0,0,0,0,10,275,41,12,390,46,345,10,79,17,108,131,1459
POA6059,4,6,0,519,42,10,6,53,3,37,6,10,0,28,168,362,0,0,5,4,0,3,3,0,3,3,10,26,524,112,29,896,80,589,32,174,33,227,182,2886
POA6060,3,11,0,332,29,6,3,36,3,21,0,0,3,14,109,220,3,0,0,3,0,0,0,0,0,0,3,16,318,92,21,637,103,472,18,123,15,167,110,2089
POA6061,4,3,0,108,26,15,3,41,3,28,0,20,5,58,228,425,0,0,0,3,0,0,0,0,3,9,29,51,483,193,29,749,92,897,43,353,76,699,274,3889
POA6062,4,10,0,346,48,17,9,41,3,37,8,9,3,32,209,416,5,4,0,3,0,3,0,0,0,4,6,28,688,179,34,1043,105,805,50,249,50,422,227,3858
POA6063,0,0,0,112,18,8,0,26,0,26,0,11,3,17,103,210,5,0,3,3,0,0,0,0,3,0,12,23,336,77,13,478,36,461,18,136,28,228,120,1939
POA6064,5,3,0,160,42,10,11,38,3,42,10,27,5,66,193,454,7,0,4,6,0,0,0,3,3,10,11,48,587,186,53,913,75,812,50,320,60,609,226,3896
POA6065,7,7,0,1001,126,24,8,162,11,95,3,27,17,45,710,1232,10,0,8,11,3,9,3,0,4,3,20,80,1886,353,77,3090,342,1903,101,381,111,473,741,9472
POA6066,3,0,0,190,46,9,4,55,7,29,0,12,4,19,171,355,3,0,0,12,0,0,0,0,0,9,13,34,509,120,21,725,68,532,27,161,32,254,188,2638
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,3,10,0,483,74,10,3,84,8,30,3,14,8,29,540,802,8,0,0,7,0,4,0,0,5,3,4,40,1150,160,52,1627,183,1256,56,214,92,240,555,5591
POA6070,0,0,0,123,4,0,0,8,0,0,0,6,0,0,63,91,0,0,0,0,0,0,0,0,0,0,0,0,99,17,3,160,8,103,4,26,4,17,63,521
POA6071,0,0,0,95,3,0,0,6,0,7,0,3,0,0,49,82,0,0,0,0,0,0,0,0,0,0,0,3,88,25,0,172,11,83,10,22,5,24,53,485
POA6072,0,0,0,20,0,0,0,0,0,0,0,0,0,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,28,6,15,3,7,0,9,9,105
POA6073,0,0,0,52,7,0,0,10,0,3,0,0,0,4,37,62,0,0,0,0,0,0,0,0,0,0,0,4,57,19,0,114,10,77,4,8,5,26,44,363
