POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA6258,0,5,0,25,0,0,0,3,0,0,0,0,0,10,51,71,0,0,0,0,0,0,0,0,0,4,3,16,160,48,13,130,13,64,5,53,16,225,63,793
POA6260,0,0,0,7,0,3,0,0,0,0,0,3,0,3,16,21,0,0,0,0,0,0,0,0,0,0,0,0,29,21,3,25,0,13,3,14,6,48,16,177
POA6262,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,3,14,12,3,13,4,6,3,9,0,39,5,115
POA6271,0,0,0,16,0,0,0,3,0,0,0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,3,3,9,78,23,10,56,6,31,5,34,4,132,34,418
POA6275,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,18,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,24,3,14,8,17,8,85,12,211
POA6280,0,18,0,114,3,3,0,3,0,4,0,3,0,28,217,268,6,0,5,0,0,3,0,0,0,34,22,72,441,189,40,444,51,199,43,245,49,1346,252,3286
POA6281,0,9,0,54,0,0,0,3,0,0,0,0,0,8,58,76,0,0,0,0,0,0,0,3,0,4,4,17,135,58,11,116,10,50,11,72,3,279,66,811
POA6282,0,5,0,23,0,0,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,23,0,13,7,17,4,61,17,184
POA6284,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,40,27,8,41,3,12,3,19,3,41,16,199
POA6285,0,5,0,32,0,3,0,0,0,0,0,0,0,4,93,106,4,3,0,0,0,0,0,0,0,3,8,11,179,89,13,154,19,63,19,63,16,193,98,903
POA6286,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,14,16,3,17,0,4,0,13,0,21,9,96
POA6288,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,14,3,7,0,11,0,13,6,61
POA6290,0,0,0,6,0,0,0,0,0,0,0,0,0,6,11,16,0,0,0,0,0,0,0,0,0,3,7,11,17,22,3,30,6,11,6,21,8,165,15,303
POA6302,0,0,0,26,0,0,0,0,0,3,0,0,0,5,46,56,3,0,0,0,0,0,0,0,0,3,3,8,81,28,3,52,11,35,7,50,6,184,57,519
POA6304,0,0,0,13,0,0,0,0,0,0,0,0,0,4,16,22,0,0,0,0,0,0,0,0,0,3,0,3,44,18,0,26,8,21,3,22,0,101,17,253
POA6306,0,3,0,8,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,3,0,3,24,10,3,21,0,5,0,11,3,40,12,133
