POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6562,3,7,0,7,5,13,11,22,0,70,8,3,10,4,15,9,10,3,0,65,8,7,0,10,25,15,17,22,0,95,4,17,8,12,12,8,11,5,3,77,5,6,3,9,25,16,10,6,0,76,6,7,11,9,5,7,0,4,0,45,8,8,4,0,10,6,12,24,0,73,5,13,12,4,7,13,3,10,0,68,0,0,0,0,0,0,0,0,3,8,36,66,56,53,99,98,63,89,10,571
POA6564,0,0,0,0,0,0,0,8,0,8,3,0,0,0,0,3,0,0,0,12,4,0,3,3,3,12,0,6,0,31,3,3,0,0,3,0,3,3,0,11,0,0,0,3,3,0,3,0,0,11,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,0,4,12,0,19,0,7,3,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,3,9,8,10,12,21,12,13,33,0,130
POA6566,0,8,10,11,23,27,22,80,0,183,7,26,23,21,34,29,16,17,3,190,18,26,15,20,23,38,15,56,0,209,3,22,22,35,19,15,9,12,0,137,10,25,25,15,40,25,7,17,0,167,0,22,20,15,18,8,9,5,0,93,15,6,11,9,13,23,23,62,3,161,3,34,19,14,15,16,9,19,4,129,3,6,0,3,0,3,0,7,11,36,67,171,151,130,173,187,121,270,24,1300
POA6567,0,3,6,3,0,3,3,10,0,31,0,0,3,3,3,3,3,0,0,19,3,3,5,3,3,0,3,10,0,37,3,0,0,3,3,5,0,4,0,19,4,0,3,0,3,0,4,4,0,18,3,7,0,0,0,0,0,3,0,12,0,0,3,0,0,3,0,10,0,20,0,3,4,0,3,0,3,3,0,17,0,0,0,0,0,0,0,0,0,3,17,25,27,19,16,17,19,34,3,180
POA6568,0,4,0,6,3,11,3,26,0,51,0,0,0,0,0,4,3,0,0,11,0,0,3,0,0,0,0,7,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,3,0,0,3,0,0,0,12,4,0,0,0,0,0,3,3,0,11,3,4,3,7,3,3,3,0,0,21,0,0,0,0,0,0,0,0,3,3,7,20,4,15,7,20,12,36,3,121
POA6569,0,4,6,3,0,3,3,20,0,39,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,6,3,0,0,14,0,0,0,3,0,3,0,0,0,9,0,3,7,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,3,0,9,0,15,0,3,3,4,0,8,3,3,0,21,0,0,0,0,0,0,0,0,0,0,5,10,14,11,3,31,15,40,0,121
POA6571,0,0,3,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,4,5,15,0,44
POA6572,0,5,0,0,0,3,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,0,9,0,31
POA6574,3,0,3,0,0,0,3,13,0,24,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,10,6,17,0,43
POA6575,0,0,0,3,3,6,5,20,0,37,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,10,3,4,13,10,27,0,76
POA6603,4,6,6,13,8,18,24,48,4,135,6,4,3,8,6,9,11,9,0,63,0,7,7,12,14,24,16,14,3,90,3,13,10,6,7,9,0,0,0,45,3,13,11,10,5,12,4,3,0,69,0,11,4,3,6,3,3,8,0,39,0,3,4,3,3,11,8,21,3,60,3,8,9,6,0,9,5,8,0,56,0,0,0,0,0,4,0,3,0,7,23,64,48,61,47,114,83,111,11,561
POA6605,0,0,0,0,0,3,0,7,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,10,0,26
POA6606,0,0,0,4,0,5,8,14,0,40,0,7,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,4,0,7,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,3,6,4,12,3,10,8,13,5,27,5,85
POA6608,0,0,0,0,4,4,0,19,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,13,3,28,0,66
POA6609,0,3,0,9,3,24,12,57,11,119,0,0,0,3,7,9,6,10,0,35,3,3,3,0,9,27,12,20,0,76,0,3,7,6,0,6,0,4,0,29,4,8,3,7,9,15,5,8,0,54,3,0,0,9,0,10,4,3,0,35,3,0,0,0,0,3,4,19,0,30,3,9,3,3,0,15,6,10,3,58,0,0,0,0,0,0,0,0,0,0,16,35,26,42,39,104,55,121,13,440
POA6612,0,0,0,5,0,3,0,30,0,45,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,15,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,12,3,6,6,16,8,49,0,98
POA6613,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,9,0,23
POA6614,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,13
POA6616,0,0,0,0,0,3,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,10,3,27
POA6620,8,4,3,5,3,11,12,49,0,83,0,5,0,3,3,0,0,8,0,23,3,0,0,3,0,5,14,37,0,68,3,0,3,0,0,0,0,3,0,15,0,3,0,3,3,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,5,3,3,3,0,8,8,43,0,73,0,3,3,4,3,3,0,15,0,36,0,0,0,0,0,0,0,3,0,3,19,23,11,18,18,33,41,160,5,314
POA6623,6,0,4,0,8,5,3,46,0,77,0,0,3,4,0,7,4,8,0,34,0,0,0,0,8,5,0,4,0,24,0,6,3,3,10,3,0,4,0,25,0,0,4,0,6,3,0,3,0,20,0,9,0,7,0,0,3,0,0,19,3,0,0,0,8,3,4,10,0,26,0,3,9,3,0,10,0,4,0,30,0,0,0,0,0,0,0,0,0,6,16,21,24,25,33,40,25,82,5,266
POA6625,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,3,13,0,29
POA6627,0,3,0,3,0,6,3,6,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,6,8,0,33
POA6628,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,8
POA6630,3,8,0,3,0,5,7,43,0,72,0,4,8,0,3,8,4,4,0,34,0,0,3,3,6,0,0,8,0,21,0,3,3,3,5,4,5,4,0,30,0,0,5,3,3,3,3,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,15,0,23,3,0,3,9,0,0,0,9,0,32,0,0,0,0,0,0,0,3,3,7,9,20,21,27,31,22,18,86,7,242
POA6631,0,0,0,3,0,3,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,16
POA6632,0,0,0,3,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,3,13,0,29
POA6635,0,0,4,3,0,3,3,11,0,25,4,0,4,3,4,0,3,6,0,25,0,3,3,0,0,0,0,22,0,34,0,3,0,0,0,4,0,3,0,14,0,0,0,0,0,3,0,5,0,12,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,32,3,53,4,3,0,0,0,3,0,5,0,14,0,0,0,0,0,0,0,0,0,0,20,18,6,10,4,11,13,95,3,176
POA6638,0,4,0,0,0,6,0,14,0,21,0,4,0,3,3,5,0,4,0,21,3,0,0,0,0,3,3,16,0,23,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,5,0,3,0,15,0,4,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,10,0,10,0,3,0,4,4,8,4,7,3,25,0,0,0,0,0,0,0,4,0,11,6,13,9,15,19,23,11,56,6,150
POA6639,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,0,0,0,4,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,3,15,0,40
POA6640,0,0,0,0,0,3,3,7,0,19,0,0,0,0,3,0,0,3,0,13,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,5,3,5,9,5,8,3,22,4,73
POA6642,0,3,3,0,7,5,10,34,0,66,3,9,6,10,11,5,8,32,0,85,6,0,3,0,3,4,7,41,6,71,0,0,0,3,14,6,4,13,0,40,0,0,0,4,10,5,3,12,0,35,0,4,0,0,5,3,4,0,0,10,15,0,3,0,0,0,3,62,3,84,3,4,0,4,6,4,3,30,6,59,3,0,0,0,0,0,0,0,9,14,37,24,17,20,54,37,42,214,21,463
POA6646,0,0,0,0,0,0,3,18,0,27,4,0,3,5,4,7,9,21,0,48,3,0,8,0,0,3,4,68,3,88,3,0,0,9,3,3,0,4,3,21,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,5,0,0,5,3,3,0,0,3,5,3,88,0,107,0,6,0,0,0,4,3,39,0,51,0,0,0,0,0,0,0,3,3,6,18,11,10,13,20,18,24,244,8,371
POA6701,20,27,4,19,44,73,39,221,14,466,25,21,16,28,58,69,31,51,8,292,25,13,13,29,50,71,46,61,0,314,18,15,22,41,38,35,35,38,3,240,25,21,25,40,93,48,19,28,8,298,3,27,25,20,38,23,15,12,3,165,11,3,13,13,17,16,33,49,3,159,21,32,28,50,56,62,26,72,10,360,3,3,0,7,3,0,3,10,21,50,149,155,150,245,403,398,253,544,61,2351
POA6705,0,0,0,0,0,3,0,20,0,23,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,3,0,4,0,13,0,0,0,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,3,5,4,5,3,10,0,31,5,72
POA6707,9,6,8,16,18,40,23,70,0,194,16,16,20,22,31,34,19,43,3,203,20,13,11,20,47,64,32,57,10,281,12,21,15,29,29,25,19,22,4,168,9,22,18,26,37,28,5,11,0,159,4,33,10,14,22,17,7,4,3,123,10,3,4,8,6,10,8,28,0,70,18,35,22,35,18,21,10,19,0,176,3,3,3,3,3,4,3,0,5,29,101,150,104,170,215,249,125,261,25,1402
POA6710,8,0,3,3,3,4,8,129,3,167,20,4,3,3,4,15,10,234,3,297,59,11,20,26,13,26,31,868,20,1073,3,6,5,4,3,7,3,38,0,72,17,0,7,13,3,6,7,86,4,139,0,0,0,0,0,0,0,6,0,9,23,8,12,12,9,20,36,257,5,386,29,16,12,21,11,28,14,483,5,612,3,4,0,0,0,3,0,17,3,31,159,52,64,74,50,109,107,2124,44,2788
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,4,0,0,0,0,0,0,61,0,63,4,3,3,3,5,4,0,107,5,134,49,8,5,3,0,5,9,571,5,665,0,0,0,0,0,0,0,21,0,28,4,0,0,0,0,0,0,44,0,54,0,0,0,0,0,0,0,4,0,4,9,0,3,3,0,4,5,148,0,177,21,4,9,0,7,7,5,345,3,392,3,0,0,0,0,0,0,19,3,27,102,20,15,13,12,26,17,1316,25,1547
POA6713,0,0,0,5,0,6,11,34,0,63,14,4,10,7,9,14,17,26,0,92,5,0,7,0,12,20,46,35,0,131,3,12,6,4,7,0,7,3,0,44,3,5,4,6,12,16,19,12,0,83,0,7,3,4,0,0,0,0,0,18,6,7,5,5,7,8,14,26,0,76,5,5,0,3,3,8,7,14,3,45,0,0,0,0,0,0,0,3,0,10,36,43,38,45,53,83,120,153,4,577
POA6714,35,19,24,40,96,150,117,413,15,897,73,56,75,66,187,280,179,364,14,1296,122,47,49,53,192,278,352,978,34,2104,35,96,69,107,92,118,80,99,15,707,56,73,68,94,191,198,144,203,12,1044,26,149,57,86,86,55,31,58,5,557,41,26,22,50,81,101,232,468,25,1040,45,101,81,109,97,80,76,278,17,886,12,13,5,6,16,25,32,64,22,193,436,573,452,613,1042,1283,1249,2930,149,8727
POA6716,0,0,3,4,3,4,3,26,0,35,8,3,5,3,6,3,3,12,0,36,10,0,0,4,0,6,23,54,0,100,0,3,3,8,3,0,0,0,0,22,0,3,0,5,0,0,4,10,0,29,0,0,0,3,0,0,3,0,0,11,22,4,3,0,3,3,8,99,0,138,3,0,3,4,3,0,0,11,0,23,0,0,0,0,0,0,0,4,3,9,37,10,19,25,16,21,49,219,9,411
POA6718,3,0,0,0,0,0,0,11,0,14,0,3,9,3,3,10,0,3,0,23,3,3,0,3,3,7,4,10,3,37,4,4,3,7,4,9,6,5,3,43,0,0,0,3,9,4,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,4,0,6,3,3,0,6,0,30,0,0,3,0,4,0,0,4,7,13,9,19,16,22,25,33,16,42,11,191
POA6720,0,3,3,3,5,12,11,30,0,77,7,8,17,8,12,25,14,16,0,107,21,6,9,5,16,43,145,100,6,358,6,20,11,15,19,16,16,3,4,105,10,11,11,7,16,25,19,18,0,122,3,18,10,7,4,0,0,3,0,45,16,5,6,3,13,16,93,94,6,257,7,14,7,8,13,8,21,30,4,106,0,0,0,0,0,0,9,3,8,26,75,88,69,69,99,151,326,301,27,1204
POA6721,19,6,5,16,31,34,50,187,0,343,28,12,29,19,48,77,58,106,7,380,27,13,15,17,39,60,96,323,3,596,16,21,20,22,27,18,17,20,3,153,27,13,24,27,54,55,33,70,4,302,4,16,11,18,25,14,14,25,6,124,24,7,3,10,18,21,33,196,3,312,15,32,8,24,15,20,18,73,6,217,7,0,0,0,5,8,7,18,16,56,158,134,112,153,254,304,316,1018,42,2488
POA6722,21,5,4,26,42,44,34,135,0,309,27,25,35,36,112,113,52,116,5,526,56,37,24,30,85,111,184,612,22,1173,25,37,28,57,70,77,39,64,7,398,37,22,24,48,128,87,59,85,8,489,13,64,42,56,48,38,10,29,8,315,43,26,10,20,45,53,87,353,25,664,23,81,58,43,59,52,42,162,8,533,6,4,3,3,9,16,7,29,35,107,245,296,234,319,609,590,516,1588,119,4513
POA6725,19,19,15,17,94,125,93,222,14,603,52,48,66,115,201,207,93,149,6,939,30,31,38,58,137,156,93,160,13,721,34,70,64,108,132,98,69,82,19,687,29,49,56,88,201,111,37,58,12,650,9,52,27,47,65,52,26,38,15,322,11,8,13,18,31,41,15,84,4,226,17,58,45,84,52,71,30,80,5,444,7,6,5,9,10,12,16,12,24,107,205,344,326,549,927,873,462,898,115,4701
POA6726,12,6,11,17,76,82,55,136,3,397,42,33,35,65,130,123,61,90,3,579,20,23,16,29,61,88,44,84,0,368,27,34,26,63,92,35,34,45,10,361,25,27,31,56,99,53,26,37,3,359,0,49,25,33,46,31,22,20,3,238,3,6,11,7,14,20,12,42,4,119,8,22,33,31,38,34,11,26,9,207,3,3,0,3,3,4,0,0,25,49,135,215,194,302,560,479,259,476,60,2683
POA6728,13,3,3,11,25,23,28,78,5,192,17,16,10,25,79,98,32,86,3,378,9,16,11,19,40,43,18,61,7,217,22,26,20,40,88,61,20,54,14,351,10,10,15,21,56,33,19,32,0,199,9,6,6,13,16,14,7,14,4,88,3,5,7,5,5,12,5,40,3,80,14,20,23,30,32,44,25,64,8,248,3,4,0,3,17,3,3,7,24,60,92,107,93,167,362,332,158,430,72,1809
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,3,0,0,3,3,12,0,20,0,46,0,10,3,3,14,8,8,13,0,64,0,6,0,0,10,3,6,11,0,36,8,3,3,10,18,13,13,20,3,94,0,0,5,10,10,5,0,3,0,34,0,0,0,0,0,3,0,0,0,10,0,3,0,0,0,0,0,9,0,19,6,7,3,9,3,5,4,4,0,41,0,0,0,0,0,0,0,0,9,6,18,31,18,32,54,52,31,87,14,341
POA6743,7,6,6,18,41,82,52,196,7,419,31,29,34,50,111,126,77,104,8,568,25,18,8,27,66,95,75,136,3,455,21,34,37,53,74,59,42,54,6,371,18,23,28,46,108,82,32,51,5,383,5,34,14,21,43,31,18,18,5,188,10,3,0,6,24,22,26,111,11,215,12,32,25,33,46,50,37,84,7,312,5,9,0,3,9,7,0,10,27,74,139,181,152,254,515,560,351,762,63,2984
POA6751,8,10,3,0,11,30,27,127,3,222,24,13,12,13,18,56,64,114,0,325,65,23,22,15,33,36,99,520,14,822,9,17,23,19,21,12,7,32,4,125,22,10,15,10,21,45,23,46,3,185,3,12,12,10,4,0,7,7,0,62,70,27,16,13,17,21,68,569,10,815,11,17,16,16,5,22,16,156,5,264,3,6,0,0,0,0,3,22,11,48,210,125,116,94,136,223,311,1601,49,2866
POA6753,15,3,4,3,22,40,25,143,3,270,23,28,26,20,37,54,72,163,0,425,62,21,21,10,48,49,211,615,24,1048,11,22,18,31,38,14,10,29,0,186,13,18,10,25,38,43,34,74,0,241,6,26,6,17,31,11,10,5,3,111,83,19,27,23,23,32,199,633,22,1052,22,20,15,29,29,27,28,190,14,373,10,0,0,0,4,10,10,25,10,73,236,160,132,164,275,274,595,1869,83,3784
POA6754,4,3,0,0,0,9,9,25,0,48,4,8,3,0,0,13,14,19,0,61,13,14,4,3,3,21,37,78,0,173,3,5,4,14,6,6,0,15,0,45,0,12,3,3,3,11,10,12,0,52,0,5,5,8,0,3,3,0,0,25,31,13,0,5,4,10,16,130,8,220,6,4,3,9,0,3,4,13,0,52,0,0,0,0,0,0,0,3,8,14,62,60,28,47,28,81,94,287,13,698
POA6758,3,0,0,0,0,3,12,50,0,72,3,0,4,0,5,4,14,55,0,92,20,3,3,3,12,0,31,351,3,428,3,0,0,0,0,0,0,11,0,21,0,0,0,0,0,0,10,24,0,38,0,0,0,0,0,0,0,3,0,3,39,12,8,8,4,3,18,427,11,536,6,0,3,0,0,3,4,90,0,110,0,0,0,0,0,0,0,21,6,27,78,20,15,13,23,17,96,1031,28,1323
POA6760,0,0,0,0,0,4,0,19,0,26,0,3,0,3,3,5,0,13,0,27,3,0,0,3,0,7,0,28,0,51,0,3,0,7,3,7,0,3,0,31,0,0,0,3,3,4,0,3,0,12,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,3,30,7,47,3,3,0,3,0,3,0,27,0,52,0,0,0,0,0,0,0,0,4,11,14,12,9,30,18,29,4,133,15,257
POA6762,0,0,3,0,3,0,0,11,0,28,8,10,12,7,0,12,12,32,5,93,13,5,3,0,4,0,11,112,5,150,0,4,0,0,0,0,0,4,0,12,0,3,0,0,0,0,6,6,0,17,0,0,0,0,0,0,0,0,0,0,9,4,0,6,3,0,5,119,3,152,5,3,0,0,0,0,0,30,3,42,0,0,0,0,0,0,0,5,3,12,41,27,22,11,17,12,38,317,12,498
POA6765,0,0,0,3,14,12,3,28,0,60,6,0,7,3,30,26,19,18,3,118,0,3,3,0,13,18,12,10,0,49,8,5,3,20,21,13,16,19,3,108,0,3,0,3,24,7,4,9,3,51,0,0,0,0,5,0,7,7,0,21,0,5,0,0,3,0,0,3,0,11,0,4,6,3,24,21,7,6,0,72,0,0,0,0,0,5,0,0,9,15,15,23,21,36,125,106,57,99,24,506
POA6770,5,0,0,5,14,15,8,28,0,74,13,7,6,4,31,41,20,34,3,150,3,4,3,3,4,10,4,27,0,59,0,3,6,13,30,19,13,20,9,125,3,6,3,8,15,5,3,6,0,51,0,0,0,0,5,3,3,3,0,13,0,3,0,4,0,0,0,9,3,20,4,3,5,7,12,6,15,30,11,87,0,3,0,0,0,0,0,10,8,25,23,35,31,37,112,104,69,162,36,611
