POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6479,0,7,8,3,0,15,12,65,0,110,0,3,4,3,3,6,3,3,0,23,0,0,0,0,3,8,5,13,0,30,0,0,4,0,0,0,0,3,0,17,0,4,0,4,0,3,3,3,0,20,0,0,0,3,0,3,3,0,0,15,0,0,0,0,4,7,7,6,0,22,0,5,0,4,3,9,7,10,0,32,0,0,0,0,0,0,0,0,6,3,3,28,20,17,20,49,32,100,8,271
POA6480,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,0,3,0,23
POA6484,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,47,3,57
POA6485,0,9,5,5,0,7,0,38,0,58,0,0,3,0,0,5,5,3,0,16,0,3,0,0,0,4,0,3,0,13,0,3,3,5,0,3,0,0,0,17,0,7,3,7,4,0,4,0,0,26,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,3,3,8,0,23,3,4,0,4,4,3,0,11,0,22,0,0,0,0,0,0,0,0,0,3,8,26,17,20,12,27,11,62,3,180
POA6487,0,0,0,0,0,3,0,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,11,0,30
POA6488,0,0,0,0,0,3,3,12,0,27,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,4,0,7,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,11,0,0,0,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,9,13,7,5,11,7,17,3,78
POA6489,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,6,11,0,35
POA6490,0,0,0,3,3,0,4,18,0,29,0,0,0,3,4,0,0,3,0,10,0,0,0,4,0,3,0,0,0,12,0,0,3,0,3,0,0,0,0,9,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,3,3,0,19,0,6,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,12,8,17,14,14,12,33,5,110
POA6501,4,7,3,3,10,11,12,27,0,68,4,4,0,4,9,6,3,3,0,35,3,3,5,13,22,26,14,16,3,100,3,6,12,8,6,6,4,0,0,38,3,13,10,11,9,16,5,8,0,76,0,3,3,6,5,4,3,0,0,14,5,3,0,0,3,4,4,26,0,46,3,13,11,8,11,9,0,3,0,69,0,0,0,0,0,3,3,6,4,14,23,47,39,48,69,82,46,91,8,460
POA6502,4,0,10,7,8,9,3,36,3,80,4,5,3,5,6,4,0,13,0,40,7,11,3,9,7,19,4,25,0,80,0,10,9,3,4,8,3,3,0,43,3,10,4,5,9,13,3,3,0,44,0,7,4,3,7,4,0,3,0,38,4,0,0,4,5,10,3,28,0,66,4,6,16,10,6,3,3,9,0,72,0,0,0,3,0,3,0,3,3,17,24,51,52,58,55,74,29,118,7,474
